year,county,state,total_pop,vet_pop,vet_percentage,vet_percentage_delta_2019_2021
2015,Abbeville County,South Carolina,19043,1421,7.46,
2015,Acadia Parish,Louisiana,45886,3417,7.45,
2015,Accomack County,Virginia,26044,3509,13.47,
2015,Ada County,Idaho,325380,32233,9.91,
2015,Adair County,Missouri,20751,1731,8.34,
2015,Adair County,Oklahoma,16169,1597,9.88,
2015,Adams County,Colorado,355762,27395,7.7,
2015,Adams County,Illinois,51203,4637,9.06,
2015,Adams County,Indiana,24038,1321,5.5,
2015,Adams County,Mississippi,24145,881,3.65,
2015,Adams County,Nebraska,24449,2042,8.35,
2015,Adams County,Ohio,21190,1862,8.79,
2015,Adams County,Pennsylvania,81120,8186,10.09,
2015,Adams County,Wisconsin,17178,2150,12.52,
2015,Addison County,Vermont,30354,1876,6.18,
2015,Aguada Municipio,Puerto Rico,31592,444,1.41,
2015,Aguadilla Municipio,Puerto Rico,44017,2658,6.04,
2015,Aguas Buenas Municipio,Puerto Rico,null,null,NaN,
2015,Aibonito Municipio,Puerto Rico,null,null,NaN,
2015,Aiken County,South Carolina,128770,14249,11.07,
2015,Alachua County,Florida,212784,15576,7.32,
2015,Alamance County,North Carolina,122262,9313,7.62,
2015,Alameda County,California,1290564,51042,3.96,
2015,Albany County,New York,250963,15203,6.06,
2015,Albany County,Wyoming,31433,2347,7.47,
2015,Albemarle County,Virginia,83505,7596,9.1,
2015,Alcorn County,Mississippi,28750,1805,6.28,
2015,Alexander County,North Carolina,28542,2532,8.87,
2015,Alexandria city,Virginia,122994,10635,8.65,
2015,Allegan County,Michigan,85884,6402,7.45,
2015,Allegany County,Maryland,60082,5376,8.95,
2015,Allegany County,New York,37785,3668,9.71,
2015,Allegheny County,Pennsylvania,996429,80025,8.03,
2015,Allen County,Indiana,272424,18700,6.86,
2015,Allen County,Kentucky,16017,1051,6.56,
2015,Allen County,Ohio,79994,7608,9.51,
2015,Allen Parish,Louisiana,20065,1224,6.1,
2015,Alpena County,Michigan,23425,2077,8.87,
2015,Amador County,California,31311,3586,11.45,
2015,Amherst County,Virginia,25588,3063,11.97,
2015,Añasco Municipio,Puerto Rico,null,null,NaN,
2015,Anchorage Municipality,Alaska,215758,27492,12.74,
2015,Anderson County,Kentucky,16112,1741,10.81,
2015,Anderson County,South Carolina,149607,14593,9.75,
2015,Anderson County,Tennessee,60123,5958,9.91,
2015,Anderson County,Texas,46417,4495,9.68,
2015,Androscoggin County,Maine,83719,8885,10.61,
2015,Angelina County,Texas,65176,5811,8.92,
2015,Anne Arundel County,Maryland,423092,51486,12.17,
2015,Anoka County,Minnesota,260603,21154,8.12,
2015,Anson County,North Carolina,20560,2029,9.87,
2015,Antrim County,Michigan,18737,1991,10.63,
2015,Apache County,Arizona,50815,2109,4.15,
2015,Aransas County,Texas,18248,2399,13.15,
2015,Arapahoe County,Colorado,476229,42682,8.96,
2015,Arecibo Municipio,Puerto Rico,71451,2138,2.99,
2015,Arlington County,Virginia,186885,12719,6.81,
2015,Armstrong County,Pennsylvania,53907,5514,10.23,
2015,Aroostook County,Maine,56063,5365,9.57,
2015,Ascension Parish,Louisiana,86433,4234,4.9,
2015,Ashe County,North Carolina,22018,1471,6.68,
2015,Ashland County,Ohio,40785,3529,8.65,
2015,Ashley County,Arkansas,16504,1140,6.91,
2015,Ashtabula County,Ohio,76533,7760,10.14,
2015,Asotin County,Washington,18684,2833,15.16,
2015,Assumption Parish,Louisiana,18534,797,4.3,
2015,Atascosa County,Texas,34811,2835,8.14,
2015,Athens County,Ohio,55915,3466,6.2,
2015,Atlantic County,New Jersey,213338,14262,6.69,
2015,Audrain County,Missouri,20334,1759,8.65,
2015,Auglaize County,Ohio,34790,2906,8.35,
2015,Augusta County,Virginia,59625,5427,9.1,
2015,Austin County,Texas,22435,1672,7.45,
2015,Autauga County,Alabama,41385,5013,12.11,
2015,Avoyelles Parish,Louisiana,31383,2652,8.45,
2015,Baker County,Florida,21793,2366,10.86,
2015,Baldwin County,Alabama,158783,21873,13.78,
2015,Baldwin County,Georgia,36620,2583,7.05,
2015,Baltimore County,Maryland,651277,44238,6.79,
2015,Baltimore city,Maryland,490041,29540,6.03,
2015,Bandera County,Texas,15991,2396,14.98,
2015,Bannock County,Idaho,61208,5180,8.46,
2015,Barbour County,Alabama,20717,1423,6.87,
2015,Barceloneta Municipio,Puerto Rico,null,null,NaN,
2015,Barnstable County,Massachusetts,179776,19340,10.76,
2015,Barnwell County,South Carolina,16772,1060,6.32,
2015,Barranquitas Municipio,Puerto Rico,null,null,NaN,
2015,Barren County,Kentucky,32844,2004,6.1,
2015,Barron County,Wisconsin,36031,3406,9.45,
2015,Barrow County,Georgia,55020,5144,9.35,
2015,Barry County,Michigan,46090,3715,8.06,
2015,Barry County,Missouri,27757,2699,9.72,
2015,Bartholomew County,Indiana,61544,3684,5.99,
2015,Barton County,Kansas,20497,1995,9.73,
2015,Bartow County,Georgia,76690,7030,9.17,
2015,Bastrop County,Texas,59997,5871,9.79,
2015,Baxter County,Arkansas,33979,4173,12.28,
2015,Bay County,Florida,138577,22073,15.93,
2015,Bay County,Michigan,83459,7329,8.78,
2015,Bayamón Municipio,Puerto Rico,151609,5064,3.34,
2015,Beaufort County,North Carolina,37647,3938,10.46,
2015,Beaufort County,South Carolina,138610,18154,13.1,
2015,Beauregard Parish,Louisiana,27058,3746,13.84,
2015,Beaver County,Pennsylvania,135618,13190,9.73,
2015,Becker County,Minnesota,25166,2970,11.8,
2015,Beckham County,Oklahoma,15132,1057,6.99,
2015,Bedford County,Pennsylvania,38810,3867,9.96,
2015,Bedford County,Tennessee,34845,3582,10.28,
2015,Bedford County,Virginia,61744,6669,10.8,
2015,Bee County,Texas,27286,1959,7.18,
2015,Belknap County,New Hampshire,48754,5266,10.8,
2015,Bell County,Kentucky,21538,1282,5.95,
2015,Bell County,Texas,219684,46846,21.32,
2015,Belmont County,Ohio,55965,5119,9.15,
2015,Beltrami County,Minnesota,34312,2542,7.41,
2015,Bennington County,Vermont,29315,2882,9.83,
2015,Benton County,Arkansas,182601,14597,7.99,
2015,Benton County,Iowa,19423,1758,9.05,
2015,Benton County,Minnesota,29979,2379,7.94,
2015,Benton County,Oregon,72959,5842,8.01,
2015,Benton County,Washington,138992,13237,9.52,
2015,Bergen County,New Jersey,737027,26777,3.63,
2015,Berkeley County,South Carolina,149514,19494,13.04,
2015,Berkeley County,West Virginia,84680,9603,11.34,
2015,Berks County,Pennsylvania,320882,21799,6.79,
2015,Berkshire County,Massachusetts,105420,8873,8.42,
2015,Bernalillo County,New Mexico,520288,47740,9.18,
2015,Berrien County,Michigan,120060,10635,8.86,
2015,Bertie County,North Carolina,16985,860,5.06,
2015,Bexar County,Texas,1386745,155367,11.2,
2015,Bibb County,Alabama,16850,1299,7.71,
2015,Bibb County,Georgia,115148,10735,9.32,
2015,Bingham County,Idaho,30814,2064,6.7,
2015,Black Hawk County,Iowa,104615,8425,8.05,
2015,Bladen County,North Carolina,26927,1623,6.03,
2015,Blaine County,Idaho,15658,1306,8.34,
2015,Blair County,Pennsylvania,99712,9031,9.06,
