facility,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
"(V01) (402) Togus, ME",,"25,109","24,701",,,98.38%,408,1.62%,"22,136",,"1,380","1,185",330,70,7,1,4,3,2,
(V01) (402) Togus VAMC,,"14,997","14,697",,,98.00%,300,2.00%,"13,259",,789,649,228,65,7,0,5,4,2,
"(V01) (402GA) Aroostook County
(Caribou)",,694,668,,,96.25%,26,3.75%,494,,81,93,26,0,0,0,9,0.00,1.70,
(V01) (402GB) Calais,,335,326,,,97.31%,9,2.69%,267,,30,29,6,2,0,1,6,0.00,2,
(V01) (402GC) Rumford,,424,424,,,100.00%,0,0.00%,412,,10,2,0,0,0,0,1,0.00,1,
(V01) (402GD) Saco,,"1,190","1,181",,,99.24%,9,0.76%,"1,039",,82,60,9,0,0,0,5,8,1.90,
(V01) (402GE) Lewiston,,"1,678","1,677",,,99.94%,1,0.06%,"1,533",,94,50,0,1,0,0,1,4,2,
(V01) (402GF) Lincoln,,2,2,,,100.00%,0,0.00%,2,,0,0,0,0,0,0,,,0.00,
(V01) (402HB) Bangor,,"4,120","4,089",,,99.25%,31,0.75%,"3,642",,232,215,31,0,0,0,4,2,2,
"(V01) (402HC) Portland Outreach
Clinic-CDRP Satellite South",,"1,578","1,549",,,98.16%,29,1.84%,"1,442",,48,59,27,2,0,0,5,3,0,
"(V01) (402HL) Bingham VA Mobile
Clinic",,91,88,,,96.70%,3,3.30%,46,,14,28,3,0,0,0,11,,,
"(V01) (405) White River Junction, VT",,"18,621","18,420",,,98.92%,201,1.08%,"16,557",,962,901,189,8,2,2,3,3,1,
(V01) (405) White River Jct VAMC,,"13,514","13,392",,,99.10%,122,0.90%,"12,037",,695,660,114,6,1,1,4,3,1,
(V01) (405GA) Bennington,,810,810,,,100.00%,0,0.00%,763,,31,16,0,0,0,0,1,0,3,
(V01) (405GC) Brattleboro,,395,381,,,96.46%,14,3.54%,332,,28,21,14,0,0,0,3,6,2,
(V01) (405HA) Burlington Lakeside,,"2,333","2,284",,,97.90%,49,2.10%,"2,030",,141,113,48,1,0,0,4,4,0,
"(V01) (405HC) VICC - St. Johnsbury -
Littleton",,776,765,,,98.58%,11,1.42%,697,,26,42,8,1,1,1,3,3.10,1,
(V01) (405HE) KEENE (ORC),,257,252,,,98.05%,5,1.95%,190,,24,38,5,0,0,0,7,0.00,0,
(V01) (405HF) Rutland,,536,536,,,100.00%,0,0.00%,508,,17,11,0,0,0,0,1,1,2,
"(V01) (518) Bedford, MA",,"11,970","11,872",,,99.18%,98,0.82%,"10,833",,619,420,88,4,5,1,1,6,2,
"(V01) (518) Edith Nourse Rogers
VAMC",,"10,469","10,377",,,99.12%,92,0.88%,"9,409",,581,387,82,4,5,1,1,6,1.30,
(V01) (518GA) Lynn,,542,541,,,99.82%,1,0.18%,506,,21,14,1,0,0,0,1,0,2.70,
(V01) (518GB) Haverhill,,662,658,,,99.40%,4,0.60%,636,,15,7,4,0,0,0,0,9,4,
(V01) (518GE) Gloucester,,297,296,,,99.66%,1,0.34%,282,,2,12,1,0,0,0,1,,3,
"(V01) (523) VA Boston HCS, MA",,"44,607","43,843",,,98.29%,764,1.71%,"39,550",,"2,276","2,017",603,122,26,13,2,4,3,
(V01) (523) Jamaica Plain VAMC,,"19,458","19,074",,,98.03%,384,1.97%,"16,471",,"1,387","1,216",277,81,17,9,2,5,4,
(V01) (523A4) West Roxbury VAMC,,"6,991","6,869",,,98.25%,122,1.75%,"6,273",,313,283,111,8,1,2,3.60,3,2,
(V01) (523A5) Brockton VAMC,,"11,473","11,321",,,98.68%,152,1.32%,"10,528",,411,382,124,18,8,2,0,5,2,
(V01) (523BY) Lowell,,"1,568","1,507",,,96.11%,61,3.89%,"1,328",,98,81,57,4,0,0,5,4.00,8,
(V01) (523BZ) Causeway,,"4,305","4,296",,,99.79%,9,0.21%,"4,242",,40,14,9,0,0,0,0,1,1,
(V01) (523GA) Framingham,,350,344,,,98.29%,6,1.71%,331,,5,8,6,0,0,0,1,3.50,5,
(V01) (523GC) Quincy,,263,259,,,98.48%,4,1.52%,237,,10,12,4,0,0,0,2,,,
(V01) (523GD) Plymouth,,191,165,,,86.39%,26,13.61%,132,,12,21,15,11,0,0,9.90,12,,
(V01) (523MA) IDES Hanscom AFB,,8,8,,,100.00%,0,0.00%,8,,0,0,0,0,0,0,,1.00,0.00,
"(V01) (608) Manchester, NH",,"17,497","17,090",,,97.67%,407,2.33%,"14,992",,"1,012","1,086",349,57,0,1,5.90,4.00,3,
(V01) (608) Manchester VAMC,,"15,671","15,296",,,97.61%,375,2.39%,"13,580",,806,910,320,54,0,1,6,4,2,
(V01) (608GA) Portsmouth,,479,473,,,98.75%,6,1.25%,345,,67,61,6,0,0,0,6,3.40,4,
(V01) (608GC) Somersworth,,594,574,,,96.63%,20,3.37%,436,,69,69,18,2,0,0,8,8,5,
(V01) (608GD) Conway,,233,231,,,99.14%,2,0.86%,188,,21,22,1,1,0,0,4,3,4,
(V01) (608HA) Tilton,,496,492,,,99.19%,4,0.81%,420,,49,23,4,0,0,0,3,8.40,2,
"(V01) (608MA) IDES Manchester
VAMC",,24,24,,,100.00%,0,0.00%,23,,0,1,0,0,0,0,,2,0.00,
"(V01) (631) VA Central Western Massachusetts
HCS",,"18,655","17,875",,,95.82%,780,4.18%,"15,771",,"1,065","1,039",578,140,59,3,8,5.40,4,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2015",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V01) (631) Edward P Boland VAMC,,"8,531","8,244",,,96.64%,287,3.36%,"7,228",,479,537,251,29,6,1,9,5,4,
(V01) (631BY) Springfield,,"4,190","4,047",,,96.59%,143,3.41%,"3,664",,173,210,111,24,8,0,8,2,2,
(V01) (631GC) Pittsfield,,845,787,,,93.14%,58,6.86%,730,,30,27,40,17,1,0,12,7,1,
"(V01) (631GD) Greenfield (Franklin
County)",,575,564,,,98.09%,11,1.91%,508,,32,24,9,1,0,1,3,2,4,
(V01) (631GE) Worcester,,"3,744","3,502",,,93.54%,242,6.46%,"3,019",,296,187,137,60,44,1,7,9,5.40,
(V01) (631GF) Fitchburg,,764,725,,,94.90%,39,5.10%,616,,55,54,30,9,0,0,9,0,4,
"(V01) (631MA) IDES Keller Army
Community Hospital",,4,4,,,100.00%,0,0.00%,4,,0,0,0,0,0,0,,0.00,,
(V01) (631PA) 631PA,,2,2,,,100.00%,0,0.00%,2,,0,0,0,0,0,0,,,,
"(V01) (650) Providence, RI",,"28,386","27,790",,,97.90%,596,2.10%,"25,215",,"1,493","1,082",481,95,17,3,4,3,5,
(V01) (650) Providence VAMC,,"24,761","24,338",,,98.29%,423,1.71%,"22,223",,"1,222",893,352,69,1,1,4,3,3,
"(V01) (650GA) New Bedford Primary
Care Ctr.",,"1,600","1,495",,,93.44%,105,6.56%,"1,334",,88,73,90,13,2,0,3,1,15,
(V01) (650GB) Hyannis,,"1,161","1,120",,,96.47%,41,3.53%,967,,102,51,21,10,10,0,4,3,9,
(V01) (650GD) Middletown,,864,837,,,96.88%,27,3.13%,691,,81,65,18,3,4,2,3,0.00,10,
"(V01) (689) VA Connecticut HCS, CT",,"49,703","49,209",,,99.01%,494,0.99%,"45,682",,"1,847","1,680",434,58,0,2,1,3,2.70,
(V01) (689) West Haven VAMC,,"28,988","28,733",,,99.12%,255,0.88%,"26,519",,"1,249",965,225,28,0,2,1,3,3,
(V01) (689A4) Newington VAMC,,"17,113","16,885",,,98.67%,228,1.33%,"15,696",,523,666,204,24,0,0,1,3,3,
(V01) (689GA) Waterbury,,586,584,,,99.66%,2,0.34%,572,,4,8,2,0,0,0,0,0.00,3,
(V01) (689GB) Stamford,,337,337,,,100.00%,0,0.00%,335,,2,0,0,0,0,0,0,0.00,0,
(V01) (689GC) Willimantic,,556,556,,,100.00%,0,0.00%,546,,6,4,0,0,0,0,0,0.00,1,
(V01) (689GD) Winsted,,500,500,,,100.00%,0,0.00%,486,,9,5,0,0,0,0,0,6,2,
(V01) (689GE) Danbury,,451,449,,,99.56%,2,0.44%,424,,14,11,1,1,0,0,1,0.60,5,
"(V01) (689HC) New London VA
Primary Care Center",,"1,172","1,165",,,99.40%,7,0.60%,"1,104",,40,21,2,5,0,0,1,0.00,3,
"(V02) (528) Albany, NY",,"21,871","21,267",,,97.24%,604,2.76%,"19,497",,"1,058",712,501,77,25,1,4,3,3,
"(V02) (528A8) Samuel S Stratton
VAMC",,"17,933","17,354",,,96.77%,579,3.23%,"15,987",,786,581,482,71,25,1,7,3,3,
(V02) (528G2) Westport,,254,253,,,99.61%,1,0.39%,198,,29,26,0,1,0,0,5,5,1,
