facility,Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(1V01) (402) Togus, ME HCS","24,450","22,738",93.00%,"1,712",7.00%,"19,316","1,603","1,819","1,203",295,102,112,6.23,10.06,4.08,,,
"(1V01) (402) Togus, ME","15,338","14,091",91.87%,"1,247",8.13%,"11,929",968,"1,194",882,230,72,63,6.11,9.96,3.58,,,
"(1V01) (402GA) Caribou, ME",575,566,98.43%,9,1.57%,492,40,34,8,1,0,0,4.13,0.00,2.67,,,
"(1V01) (402GB) Calais, ME",262,261,99.62%,1,0.38%,236,10,15,1,0,0,0,2.83,0.00,0.22,,,
"(1V01) (402GC) Rumford, ME",342,336,98.25%,6,1.75%,290,29,17,6,0,0,0,4.43,0.00,0.25,,,
"(1V01) (402GD) Saco, ME","1,199","1,118",93.24%,81,6.76%,922,86,110,64,14,3,0,10.25,4.16,4.80,,,
"(1V01) (402GE) Lewiston, ME","1,723","1,628",94.49%,95,5.51%,"1,360",128,140,71,17,4,3,6.69,6.72,5.70,,,
"(1V01) (402GF) Lincoln, ME",235,215,91.49%,20,8.51%,194,4,17,13,1,3,3,15.02,0.00,0.93,,,
"(1V01) (402HB) Bangor, ME","3,465","3,266",94.26%,199,5.74%,"2,800",258,208,116,23,18,42,5.84,12.22,4.95,,,
"(1V01) (402HC) Portland, ME","1,205","1,157",96.02%,48,3.98%,"1,015",73,69,37,9,1,1,3.43,11.30,4.46,,,
"(1V01) (402HL) Bingham, ME -
Mobile",37,35,94.59%,2,5.41%,32,3,0,1,0,1,0,5.78,,,,,
"(1V01) (402QA) Fort Kent, ME",37,37,100.00%,0,0.00%,30,2,5,0,0,0,0,4.97,,,,,
"(1V01) (402QB) Houlton, ME",32,28,87.50%,4,12.50%,16,2,10,4,0,0,0,14.31,,,,,
"(1V01) (405) White River Junction, VT HCS","16,524","15,196",91.96%,"1,328",8.04%,"13,228",885,"1,083",817,209,134,168,6.67,13.25,1.14,,,
"(1V01) (405) White River Junction, VT","11,951","10,877",91.01%,"1,074",8.99%,"9,398",641,838,652,170,114,138,7.49,13.63,0.38,,,
"(1V01) (405GA) Bennington, VT",633,617,97.47%,16,2.53%,549,28,40,6,4,2,4,6.83,4.77,0.87,,,
"(1V01) (405GC) Brattleboro, VT",364,342,93.96%,22,6.04%,322,8,12,21,0,0,1,4.97,7.94,1.25,,,
"(1V01) (405HA) Burlington Lakeside, VT","1,881","1,751",93.09%,130,6.91%,"1,568",95,88,87,23,10,10,5.17,11.89,1.94,,,
"(1V01) (405HC) Littleton, NH",688,639,92.88%,49,7.12%,537,44,58,31,9,2,7,8.02,13.59,1.87,,,
"(1V01) (405HE) Keene, NH",241,239,99.17%,2,0.83%,195,26,18,2,0,0,0,5.09,7.00,0.02,,,
"(1V01) (405HF) Rutland, VT",554,522,94.22%,32,5.78%,465,35,22,16,3,5,8,7.57,2.04,6.45,,,
"(1V01) (405QB) Newport, VT",212,209,98.58%,3,1.42%,194,8,7,2,0,1,0,1.17,16.73,2.83,,,
"(1V01) (518) Bedford, MA HCS","10,449","9,818",93.96%,631,6.04%,"8,560",548,710,390,150,50,41,5.07,12.37,1.77,,,
"(1V01) (518) Bedford, MA (Edith Nourse Rogers)","9,336","8,766",93.89%,570,6.11%,"7,631",484,651,343,140,47,40,4.34,12.51,1.66,,,
"(1V01) (518GA) Lynn, MA",357,351,98.32%,6,1.68%,322,18,11,6,0,0,0,2.26,1.07,3.16,,,
"(1V01) (518GB) Haverhill, MA",444,392,88.29%,52,11.71%,338,24,30,40,8,3,1,12.56,4.67,1.74,,,
"(1V01) (518GE) Gloucester, MA",309,306,99.03%,3,0.97%,268,22,16,1,2,0,0,2.55,4.95,2.48,,,
(1V01) (518MA) IDES Hanscom AFB,3,3,100.00%,0,0.00%,1,0,2,0,0,0,0,,10.50,21.00,,,
"(1V01) (523) Boston, MA HCS","38,145","35,945",94.23%,"2,200",5.77%,"31,263","2,313","2,369","1,472",400,165,163,5.41,10.50,2.82,,,
"(1V01) (523) Jamaica Plain, MA","16,525","15,446",93.47%,"1,079",6.53%,"13,159","1,153","1,134",750,181,64,84,7.41,9.36,2.76,,,
"(1V01) (523A4) West Roxbury, MA","6,066","5,646",93.08%,420,6.92%,"4,780",414,452,288,68,31,33,8.27,10.65,1.88,,,
"(1V01) (523A5) Brockton, MA","10,380","9,842",94.82%,538,5.18%,"8,832",488,522,322,120,55,41,3.79,13.75,3.13,,,
"(1V01) (523BY) Lowell, MA","1,502","1,406",93.61%,96,6.39%,"1,201",103,102,60,20,13,3,3.02,11.87,3.99,,,
"(1V01) (523BZ) Causeway, MA","2,725","2,700",99.08%,25,0.92%,"2,560",76,64,16,7,0,2,5.63,7.69,1.93,,,
"(1V01) (523GA) Framingham, MA",421,415,98.57%,6,1.43%,343,39,33,4,2,0,0,4.12,11.16,2.57,,,
"(1V01) (523GC) Quincy, MA",177,169,95.48%,8,4.52%,157,4,8,8,0,0,0,3.17,13.90,,,,
"(1V01) (523GD) Plymouth, MA",339,311,91.74%,28,8.26%,221,36,54,24,2,2,0,7.69,22.33,,,,
(1V01) (523MA) IDES Hanscom AFB,10,10,100.00%,0,0.00%,10,0,0,0,0,0,0,,0.00,0.00,,,
"(1V01) (608) Manchester, NH HCS","15,929","14,490",90.97%,"1,439",9.03%,"12,110","1,129","1,251",970,283,89,97,7.76,13.00,5.19,,,
"(1V01) (608) Manchester, NH","14,245","12,893",90.51%,"1,352",9.49%,"10,848",965,"1,080",921,266,87,78,6.34,13.00,5.04,,,
"(1V01) (608GA) Portsmouth, NH",355,320,90.14%,35,9.86%,253,26,41,18,7,2,8,14.87,18.00,13.25,,,
"(1V01) (608GC) Somersworth, NH",655,626,95.57%,29,4.43%,500,64,62,15,5,0,9,12.57,16.08,3.34,,,
"(1V01) (608GD) Conway, NH",245,236,96.33%,9,3.67%,200,19,17,5,3,0,1,7.20,0.00,1.75,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2018",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(1V01) (608HA) Tilton, NH",426,412,96.71%,14,3.29%,306,55,51,11,2,0,1,8.04,7.78,4.91,,,
(1V01) (608MA) IDES Manchester VAMC,3,3,100.00%,0,0.00%,3,0,0,0,0,0,0,,0.00,0.00,,,
(1V01) (631) Central Western Massachusetts HCS,"18,795","17,663",93.98%,"1,132",6.02%,"15,522","1,072","1,069",682,213,97,140,6.94,9.26,6.34,,,
"(1V01) (631) Central Western Massachusetts, MA (Edward P. Boland)","8,174","7,716",94.40%,458,5.60%,"6,750",486,480,254,108,49,47,5.74,9.50,3.99,,,
"(1V01) (631BY) Springfield, MA","3,712","3,518",94.77%,194,5.23%,"3,127",194,197,135,32,13,14,7.60,7.22,5.49,,,
"(1V01) (631GC) Pittsfield, MA",511,469,91.78%,42,8.22%,399,35,35,27,12,0,3,10.45,8.55,5.53,,,
"(1V01) (631GD) Greenfield, MA",539,515,95.55%,24,4.45%,462,31,22,15,4,3,2,8.19,1.00,2.71,,,
"(1V01) (631GE) Worcester, MA","1,805","1,727",95.68%,78,4.32%,"1,509",114,104,52,15,3,8,6.18,3.68,2.88,,,
"(1V01) (631GF) Fitchburg, MA",871,826,94.83%,45,5.17%,688,70,68,27,7,7,4,7.42,1.69,9.37,,,
"(1V01) (631MA) IDES Keller Army
Community Hospital",4,4,100.00%,0,0.00%,4,0,0,0,0,0,0,,0.00,0.00,,,
(1V01) (631PA) 631PA,1,1,100.00%,0,0.00%,1,0,0,0,0,0,0,,,,,,
"(1V01) (631QA) Northampton, MA (Plantation Street)","2,027","1,845",91.02%,182,8.98%,"1,701",79,65,96,20,14,52,,10.37,,,,
"(1V01) (631QB) Northampton, MA (Lake Avenue)","1,151","1,042",90.53%,109,9.47%,881,63,98,76,15,8,10,,10.55,13.64,,,
"(1V01) (650) Providence, RI HCS","26,768","25,921",96.84%,847,3.16%,"22,368","1,707","1,846",622,132,46,47,5.86,7.84,3.08,,,
"(1V01) (650) Providence, RI","19,473","18,877",96.94%,596,3.06%,"16,381","1,141","1,355",425,109,32,30,6.65,7.59,2.26,,,
"(1V01) (650GA) New Bedford, MA","1,332","1,251",93.92%,81,6.08%,"1,002",130,119,54,9,6,12,5.99,8.54,12.12,,,
"(1V01) (650GB) Hyannis, MA",985,956,97.06%,29,2.94%,871,44,41,12,6,7,4,4.83,7.97,2.32,,,
"(1V01) (650GD) Middletown, RI",742,737,99.33%,5,0.67%,685,37,15,4,1,0,0,1.99,2.38,2.36,,,
"(1V01) (650QA) Eagle Square, RI","4,236","4,100",96.79%,136,3.21%,"3,429",355,316,127,7,1,1,,8.13,7.53,,,
(1V01) (689) Connecticut HCS,"43,016","41,625",96.77%,"1,391",3.23%,"36,695","2,356","2,574","1,126",162,48,55,3.65,6.39,4.34,,,
"(1V01) (689) West Haven, CT","22,945","22,153",96.55%,792,3.45%,"19,327","1,346","1,480",661,87,23,21,4.41,6.58,2.42,,,
"(1V01) (689A4) Newington, CT","13,822","13,266",95.98%,556,4.02%,"11,522",799,945,427,72,24,33,3.43,6.10,7.70,,,
"(1V01) (689GA) Waterbury, CT",532,530,99.62%,2,0.38%,502,21,7,2,0,0,0,1.22,,3.11,,,
"(1V01) (689GB) Stamford, CT",336,334,99.40%,2,0.60%,312,14,8,1,0,0,1,3.01,0.00,2.28,,,
"(1V01) (689GC) Willimantic, CT",468,460,98.29%,8,1.71%,383,38,39,8,0,0,0,4.05,4.67,4.53,,,
"(1V01) (689GD) Winsted, CT",389,382,98.20%,7,1.80%,327,38,17,6,1,0,0,3.08,18.40,4.80,,,
"(1V01) (689GE) Danbury, CT",458,454,99.13%,4,0.87%,409,27,18,4,0,0,0,3.34,0.00,2.10,,,
"(1V01) (689HC) New London, CT
(John J. McGuirk)","1,135","1,115",98.24%,20,1.76%,992,65,58,17,2,1,0,2.93,0.00,4.19,,,
"(1V01) (689QA) Errera, CT","2,931","2,931",100.00%,0,0.00%,"2,921",8,2,0,0,0,0,1.09,0.00,4.06,,,
"(1V02) (528A8) Albany, NY HCS","20,036","19,041",95.03%,995,4.97%,"17,026",942,"1,073",666,175,73,81,5.60,6.68,5.57,,,
"(1V02) (528A8) Albany, NY (Samuel S. Stratton)","16,489","15,575",94.46%,914,5.54%,"13,918",752,905,623,152,64,75,8.99,6.70,5.78,,,
"(1V02) (528G2) Westport, NY",135,135,100.00%,0,0.00%,130,5,0,0,0,0,0,0.83,0.00,0.75,,,
"(1V02) (528G3) Bainbridge, NY",320,293,91.56%,27,8.44%,265,11,17,8,16,3,0,8.51,2.67,7.50,,,
"(1V02) (528G6) Fonda, NY",187,187,100.00%,0,0.00%,168,11,8,0,0,0,0,1.72,6.00,2.05,,,
"(1V02) (528G7) Catskill, NY",312,307,98.40%,5,1.60%,264,25,18,3,1,1,0,3.61,2.80,5.12,,,
"(1V02) (528GT) Glens Falls, NY",578,564,97.58%,14,2.42%,520,22,22,7,3,1,3,2.87,20.09,8.51,,,
"(1V02) (528GV) Plattsburgh, NY",532,526,98.87%,6,1.13%,436,52,38,6,0,0,0,3.81,2.63,3.68,,,
"(1V02) (528GW) Schenectady, NY",330,330,100.00%,0,0.00%,323,6,1,0,0,0,0,0.70,0.00,0.29,,,
"(1V02) (528GX) Troy, NY",294,291,98.98%,3,1.02%,262,20,9,2,1,0,0,2.46,0.00,16.27,,,
"(1V02) (528GY) Clifton Park, NY",313,295,94.25%,18,5.75%,249,17,29,9,2,4,3,7.96,0.00,2.00,,,
"(1V02) (528GZ) Kingston, NY",384,378,98.44%,6,1.56%,342,18,18,6,0,0,0,2.19,5.94,3.79,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2018",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(1V02) (528QK) Saranac Lake, NY",162,160,98.77%,2,1.23%,149,3,8,2,0,0,0,2.49,4.67,0.68,,,
"(1V02) (528A6) Bath, NY HCS","14,143","13,755",97.26%,388,2.74%,"12,613",498,644,336,37,9,6,5.11,8.18,1.58,,,
"(1V02) (528A6) Bath, NY","12,842","12,494",97.29%,348,2.71%,"11,557",411,526,304,34,5,5,4.75,8.24,2.04,,,
"(1V02) (528G4) Elmira, NY",722,711,98.48%,11,1.52%,594,52,65,8,1,1,1,4.20,8.12,0.00,,,
"(1V02) (528G8) Wellsville, NY",362,353,97.51%,9,2.49%,315,18,20,8,1,0,0,2.61,6.74,0.22,,,
"(1V02) (528QE) Coudersport, PA",74,69,93.24%,5,6.76%,50,3,16,5,0,0,0,8.84,,,,,
"(1V02) (528QF) Wellsboro, PA",143,128,89.51%,15,10.49%,97,14,17,11,1,3,0,10.71,0.00,1.00,,,
(1V02) (528) Western New York HCS,"29,916","28,716",95.99%,"1,200",4.01%,"25,573","1,461","1,682",884,171,67,78,3.73,6.80,4.13,,,
"(1V02) (528) Buffalo, NY","22,549","21,479",95.25%,"1,070",4.75%,"18,861","1,204","1,414",792,154,57,67,4.12,7.05,4.11,,,
"(1V02) (528A4) Batavia, NY","2,408","2,367",98.30%,41,1.70%,"2,155",96,116,27,5,5,4,2.14,3.84,4.87,,,
