facility,,Total Completed Appointments 1,,"Completed within 30
Days 2",,Percent Appts Complete d in 30 Days or Less 3,,Completed in Over 30 Days 4,,Percent Appts Complete d in Over 30 Days 5,,"Completed 06
-7 Days 6",,"Completed 8-14
Days 7",,"Completed 15-30
Days 8",,"Completed 31-60 Days
9",,"Completed 61-90
Days 10",,"Completed 91-120
Days 11",,Completed in more than 120 Days 12,,PC Avg Wait Time in Days 13,,SC Avg Wait Time in Days 14,,MH Avg Wait Time in Days 15,,,
"(1V01) (402) Togus, ME HCS",,"24,264",,"22,652",,93.36%,,"1,612",,6.64%,,"19,342",,"1,598",,"1,712",,"1,154",,324,,62,,72,,7.62,,7.96,,4.91,,,
"(1V01) (402) Togus, ME",,"14,770",,"13,758",,93.15%,,"1,012",,6.85%,,"11,823",,920,,"1,015",,736,,209,,39,,28,,8.39,,7.95,,2.94,,,
"(1V01) (402GA) Caribou, ME",,555,,546,,98.38%,,9,,1.62%,,466,,43,,37,,9,,0,,0,,0,,4.33,,0,,2.91,,,
"(1V01) (402GB) Calais, ME",,365,,350,,95.89%,,15,,4.11%,,325,,15,,10,,14,,1,,0,,0,,4.34,,0.12,,0.1,,,
"(1V01) (402GC) Rumford, ME",,350,,326,,93.14%,,24,,6.86%,,281,,18,,27,,20,,3,,0,,1,,9.03,,0,,4.59,,,
"(1V01) (402GD) Saco, ME",,899,,839,,93.33%,,60,,6.67%,,742,,60,,37,,39,,18,,3,,0,,6.98,,11.02,,5.44,,,
"(1V01) (402GE) Lewiston, ME",,"1,785",,"1,651",,92.49%,,134,,7.51%,,"1,318",,159,,174,,94,,28,,6,,6,,10.19,,8.96,,5.67,,,
"(1V01) (402GF) Lincoln, ME",,264,,249,,94.32%,,15,,5.68%,,195,,27,,27,,11,,3,,0,,1,,7.8,,0,,9.05,,,
"(1V01) (402HB) Bangor, ME",,"3,798",,"3,563",,93.81%,,235,,6.19%,,"3,037",,254,,272,,153,,43,,8,,31,,7.61,,6.91,,6.67,,,
"(1V01) (402HC) Portland, ME",,"1,405",,"1,300",,92.53%,,105,,7.47%,,"1,096",,98,,106,,77,,18,,6,,4,,5.08,,15.16,,7.74,,,
