facility,Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,
"(1V01) (402) Togus, ME HCS","24,147","21,873",90.58%,"2,274",9.42%,"18,871","1,473","1,529",987,527,275,485,7.00,17.70,4.36,,
"(1V01) (402) Togus, ME","14,650","13,374",91.29%,"1,276",8.71%,"11,483",891,"1,000",609,295,136,236,3.69,14.89,2.38,,
"(1V01) (402GA) Caribou, ME",655,652,99.54%,3,0.46%,614,19,19,2,1,0,0,3.24,9.00,1.13,,
"(1V01) (402GB) Calais, ME",171,147,85.96%,24,14.04%,121,10,16,12,11,1,0,11.99,0.00,0.00,,
"(1V01) (402GC) Rumford, ME",327,324,99.08%,3,0.92%,303,13,8,1,1,1,0,2.58,0.00,0.09,,
"(1V01) (402GD) Saco, ME","1,279","1,143",89.37%,136,10.63%,"1,000",72,71,58,15,31,32,12.34,,5.74,,
"(1V01) (402GE) Lewiston, ME","1,548","1,298",83.85%,250,16.15%,"1,143",68,87,83,41,30,96,22.05,21.83,6.15,,
"(1V01) (402GF) Lincoln, ME",138,110,79.71%,28,20.29%,93,10,7,21,7,0,0,15.99,0.00,0.00,,
"(1V01) (402HB) Bangor, ME","4,136","3,707",89.63%,429,10.37%,"3,187",284,236,135,127,64,103,7.61,29.27,6.50,,
"(1V01) (402HC) Portland, ME","1,231","1,106",89.85%,125,10.15%,916,106,84,66,29,12,18,10.39,16.63,5.71,,
"(1V01) (402QA) Fort Kent, ME",12,12,100.00%,0,0.00%,11,0,1,0,0,0,0,,,,,
"(1V01) (405) White River Junction, VT HCS","17,375","16,283",93.72%,"1,092",6.28%,"14,611",789,883,563,189,142,198,8.55,6.82,0.81,,
"(1V01) (405) White River Junction, VT","13,148","12,425",94.50%,723,5.50%,"11,216",546,663,366,123,91,143,7.07,5.74,0.78,,
"(1V01) (405GA) Bennington, VT",543,525,96.69%,18,3.31%,505,10,10,7,5,4,2,2.58,0.00,0.07,,
"(1V01) (405GC) Brattleboro, VT",251,247,98.41%,4,1.59%,236,6,5,2,0,2,0,1.04,6.32,0.33,,
"(1V01) (405HA) Burlington Lakeside, VT","1,761","1,562",88.70%,199,11.30%,"1,337",115,110,111,34,26,28,10.49,19.54,0.79,,
"(1V01) (405HC) Littleton, NH",723,626,86.58%,97,13.42%,509,65,52,48,22,7,20,16.63,23.86,1.43,,
"(1V01) (405HE) Keene, NH",239,216,90.38%,23,9.62%,193,13,10,12,2,5,4,7.72,10.50,0.35,,
"(1V01) (405HF) Rutland, VT",443,419,94.58%,24,5.42%,371,26,22,14,3,6,1,6.02,14.55,1.57,,
"(1V01) (405QB) Newport, VT",267,263,98.50%,4,1.50%,244,8,11,3,0,1,0,3.92,2.82,1.10,,
"(1V01) (518) Bedford, MA HCS","20,519","19,735",96.18%,784,3.82%,"18,068",504,"1,163",296,120,63,305,15.11,7.37,3.89,,
"(1V01) (518GB) Haverhill, MA",2,2,100.00%,0,0.00%,2,0,0,0,0,0,0,14.95,8.01,3.56,,
"(1V01) (518) Bedford, MA (Edith Nourse Rogers)","18,204","17,482",96.03%,722,3.97%,"15,931",456,"1,095",267,108,59,288,14.95,8.01,3.56,,
"(1V01) (518GA) Lynn, MA",2,1,50.00%,1,50.00%,0,0,1,1,0,0,0,14.95,8.01,3.56,,
"(1V01) (518GA) Lynn, MA",754,730,96.82%,24,3.18%,689,23,18,14,4,2,4,8.97,0.74,18.09,,
"(1V01) (518GB) Haverhill, MA",367,340,92.64%,27,7.36%,310,12,18,12,5,1,9,27.33,,,,
"(1V01) (518GE) Gloucester, MA","1,190","1,180",99.16%,10,0.84%,"1,136",13,31,2,3,1,4,8.71,1.30,5.57,,
"(1V01) (523) Boston, MA HCS","44,460","42,241",95.01%,"2,219",4.99%,"37,967","1,987","2,287","1,231",473,182,333,1.79,10.45,1.76,,
"(1V01) (523) Jamaica Plain, MA","19,247","18,051",93.79%,"1,196",6.21%,"15,992",933,"1,126",668,235,88,205,1.31,11.53,2.08,,
"(1V01) (523A4) West Roxbury, MA",48,42,87.50%,6,12.50%,28,10,4,5,0,0,1,1.31,11.53,2.08,,
"(1V01) (523A4) West Roxbury, MA","8,345","7,867",94.27%,478,5.73%,"7,101",345,421,254,104,46,74,1.66,8.15,1.08,,
"(1V01) (523) Jamaica Plain, MA",3,3,100.00%,0,0.00%,3,0,0,0,0,0,0,1.49,8.92,1.44,,
"(1V01) (523A5) Brockton, MA","13,039","12,688",97.31%,351,2.69%,"11,635",521,532,196,92,28,35,1.49,8.92,1.44,,
"(1V01) (523A4) West Roxbury, MA",2,2,100.00%,0,0.00%,2,0,0,0,0,0,0,1.49,8.92,1.44,,
"(1V01) (523BY) Lowell, MA","2,049","1,898",92.63%,151,7.37%,"1,670",102,126,82,34,17,18,4.82,13.39,0.68,,
"(1V01) (523BZ) Causeway, MA","1,014",993,97.93%,21,2.07%,943,25,25,15,3,3,0,9.22,2.80,1.14,,
"(1V01) (523GA) Framingham, MA",330,318,96.36%,12,3.64%,276,22,20,7,5,0,0,7.16,8.80,4.97,,
"(1V01) (523GC) Quincy, MA",158,156,98.73%,2,1.27%,131,15,10,2,0,0,0,3.11,,,,
"(1V01) (523GD) Plymouth, MA",223,221,99.10%,2,0.90%,184,14,23,2,0,0,0,5.36,,,,
(1V01) (523MA) IDES Hanscom AFB,2,2,100.00%,0,0.00%,2,0,0,0,0,0,0,,0.00,,,
"(1V01) (608) Manchester, NH HCS","17,123","15,749",91.98%,"1,374",8.02%,"12,967","1,337","1,445",888,204,93,189,13.08,10.96,3.66,,
"(1V01) (608) Manchester, NH","15,805","14,513",91.83%,"1,292",8.17%,"11,970","1,220","1,323",841,185,89,177,13.17,10.91,3.38,,
"(1V01) (608GA) Portsmouth, NH",347,338,97.41%,9,2.59%,254,39,45,7,1,0,1,8.31,12.70,7.79,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  February 2021",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,
"(1V01) (608GC) Somersworth, NH",505,475,94.06%,30,5.94%,389,38,48,16,7,2,5,13.64,48.82,6.39,,
"(1V01) (608GD) Conway, NH",161,145,90.06%,16,9.94%,108,21,16,8,3,2,3,15.50,,1.00,,
"(1V01) (608HA) Tilton, NH",305,278,91.15%,27,8.85%,246,19,13,16,8,0,3,14.28,,1.60,,
(1V01) (631) Central Western Massachusetts HCS,"18,248","17,063",93.51%,"1,185",6.49%,"14,679",987,"1,397",698,154,69,264,8.53,17.17,4.11,,
"(1V01) (631) Central Western Massachusetts, MA (Edward P. Boland)","8,586","8,221",95.75%,365,4.25%,"7,186",434,601,198,64,27,76,6.08,13.38,2.48,,
"(1V01) (631BY) Springfield, MA","3,844","3,582",93.18%,262,6.82%,"3,080",190,312,178,25,8,51,10.95,7.51,6.32,,
"(1V01) (631GC) Pittsfield, MA",469,456,97.23%,13,2.77%,430,15,11,9,2,0,2,5.36,0.00,1.62,,
"(1V01) (631GD) Greenfield, MA",532,508,95.49%,24,4.51%,454,33,21,13,3,1,7,21.47,4.20,1.26,,
"(1V01) (631GE) Worcester, MA","2,312","2,066",89.36%,246,10.64%,"1,578",181,307,188,20,13,25,10.48,3.10,0.77,,
"(1V01) (631GF) Fitchburg, MA",459,443,96.51%,16,3.49%,399,22,22,10,2,3,1,6.79,5.25,1.56,,
(1V01) (631PA) 631PA,2,2,100.00%,0,0.00%,2,0,0,0,0,0,0,,,,,
"(1V01) (631QA) Plantation Street, MA","1,111",968,87.13%,143,12.87%,863,48,57,27,14,13,89,,27.75,,,
"(1V01) (631QB) Lake Avenue, MA",933,817,87.57%,116,12.43%,687,64,66,75,24,4,13,,43.55,12.33,,
"(1V01) (650) Providence, RI HCS","26,240","25,199",96.03%,"1,041",3.97%,"22,395","1,388","1,416",488,261,101,191,10.71,5.70,2.38,,
"(1V01) (650) Providence, RI","18,684","17,826",95.41%,858,4.59%,"15,824",953,"1,049",379,214,87,178,13.25,7.57,2.33,,
"(1V01) (650GA) New Bedford, MA","1,308","1,301",99.46%,7,0.54%,"1,195",61,45,5,2,0,0,2.57,1.40,1.74,,
"(1V01) (650GB) Hyannis, MA","2,268","2,230",98.32%,38,1.68%,"2,133",51,46,21,14,3,0,4.40,1.08,1.94,,
"(1V01) (650GD) Middletown, RI",774,740,95.61%,34,4.39%,642,46,52,17,9,4,4,12.68,0.00,4.64,,
"(1V01) (650QA) Eagle Square, RI","2,240","2,141",95.58%,99,4.42%,"1,824",168,149,61,22,7,9,,5.78,,,
"(1V01) (650QA) Eagle Square, RI",14,14,100.00%,0,0.00%,14,0,0,0,0,0,0,,3.58,,,
"(1V01) (650QB) Eagle Street, RI",952,947,99.47%,5,0.53%,763,109,75,5,0,0,0,,3.58,,,
(1V01) (689) Connecticut HCS,"53,648","51,688",96.35%,"1,960",3.65%,"47,267","2,017","2,404","1,176",322,180,282,1.27,5.76,2.21,,
"(1V01) (689) West Haven, CT","27,258","26,086",95.70%,"1,172",4.30%,"23,440","1,141","1,505",680,206,123,163,4.82,5.38,2.10,,
"(1V01) (689A4) Newington, CT","17,378","16,651",95.82%,727,4.18%,"15,212",687,752,454,110,52,111,0.83,11.43,2.66,,
"(1V01) (689BU) West Haven, CT - VADOM",1,1,100.00%,0,0.00%,1,0,0,0,0,0,0,,,,,
"(1V01) (689GA) Waterbury, CT",737,736,99.86%,1,0.14%,704,21,11,1,0,0,0,1.32,,0.90,,
"(1V01) (689GB) Stamford, CT",281,276,98.22%,5,1.78%,248,12,16,4,0,0,1,2.78,,0.92,,
"(1V01) (689GC) Willimantic, CT",556,547,98.38%,9,1.62%,526,10,11,9,0,0,0,0.74,,0.71,,
"(1V01) (689GD) Winsted, CT",394,393,99.75%,1,0.25%,365,25,3,1,0,0,0,1.03,,1.42,,
"(1V01) (689GE) Danbury, CT",486,482,99.18%,4,0.82%,436,32,14,1,1,0,2,2.80,,1.89,,
"(1V01) (689GF) Orange, CT","3,143","3,140",99.90%,3,0.10%,"3,123",14,3,0,0,0,3,,0.77,,,
"(1V01) (689HC) New London, CT
(John J. McGuirk)","1,825","1,798",98.52%,27,1.48%,"1,642",69,87,19,2,4,2,0.79,,7.05,,
"(1V01) (689GF) Orange, CT",133,133,100.00%,0,0.00%,133,0,0,0,0,0,0,0.64,1.07,0.00,,
"(1V01) (689QA) Errera, CT","1,456","1,445",99.24%,11,0.76%,"1,437",6,2,7,3,1,0,0.64,1.07,0.00,,
"(1V02) (528A8) Albany, NY HCS","20,494","19,579",95.54%,915,4.46%,"17,881",852,846,469,192,82,172,6.41,5.46,4.72,,
"(1V02) (528A8) Albany, NY (Samuel S. Stratton)","17,311","16,450",95.03%,861,4.97%,"14,931",745,774,439,183,81,158,11.21,5.60,4.93,,
"(1V02) (528G2) Westport, NY",262,259,98.85%,3,1.15%,251,6,2,2,0,0,1,0.92,0.00,0.00,,
"(1V02) (528G3) Bainbridge, NY",169,167,98.82%,2,1.18%,158,6,3,0,1,0,1,1.04,0.00,0.03,,
"(1V02) (528G6) Fonda, NY",374,374,100.00%,0,0.00%,366,8,0,0,0,0,0,1.51,0.06,0.00,,
"(1V02) (528G7) Catskill, NY",169,161,95.27%,8,4.73%,131,15,15,6,1,0,1,5.34,56.86,10.14,,
"(1V02) (528GT) Glens Falls, NY",418,405,96.89%,13,3.11%,365,13,27,9,3,0,1,4.58,0.00,1.73,,
"(1V02) (528GV) Plattsburgh, NY",477,464,97.27%,13,2.73%,455,6,3,4,0,1,8,3.78,1.00,8.82,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  February 2021",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,
"(1V02) (528GW) Schenectady, NY",427,425,99.53%,2,0.47%,409,12,4,1,1,0,0,1.90,,0.00,,
"(1V02) (528GX) Troy, NY",203,203,100.00%,0,0.00%,202,0,1,0,0,0,0,0.81,0.00,0.00,,
"(1V02) (528GY) Clifton Park, NY",291,284,97.59%,7,2.41%,246,29,9,5,1,0,1,4.60,0.00,28.00,,
"(1V02) (528GZ) Kingston, NY",295,290,98.31%,5,1.69%,278,7,5,3,1,0,1,1.16,0.00,1.24,,
"(1V02) (528QK) Saranac Lake, NY",98,97,98.98%,1,1.02%,89,5,3,0,1,0,0,1.72,25.67,3.88,,
"(1V02) (528A6) Finger Lakes, NY HCS","26,759","25,017",93.49%,"1,742",6.51%,"21,946","1,307","1,764",741,283,230,488,7.69,12.28,3.22,,
"(1V02) (528A5) Canandaigua, NY","6,336","6,111",96.45%,225,3.55%,"4,927",399,785,135,31,18,41,4.79,9.07,4.08,,
"(1V02) (528A6) Bath, NY","9,819","9,437",96.11%,382,3.89%,"8,861",285,291,171,58,34,119,3.01,9.80,0.62,,
"(1V02) (528G4) Elmira, NY",614,590,96.09%,24,3.91%,484,65,41,7,2,0,15,5.34,18.60,0.01,,
"(1V02) (528G8) Wellsville, NY",302,265,87.75%,37,12.25%,229,14,22,19,11,1,6,16.06,20.13,0.03,,
"(1V02) (528QC) Rochester Calkins, NY","9,494","8,482",89.34%,"1,012",10.66%,"7,353",534,595,353,177,175,307,10.68,16.12,4.66,,
"(1V02) (528QE) Coudersport, PA",24,24,100.00%,0,0.00%,20,1,3,0,0,0,0,4.42,,,,
"(1V02) (528QF) Wellsboro, PA",170,108,63.53%,62,36.47%,72,9,27,56,4,2,0,13.53,0.00,9.33,,
(1V02) (528) Western New York HCS,"39,927","38,740",97.03%,"1,187",2.97%,"35,919","1,403","1,418",619,210,122,236,4.15,4.45,3.56,,
"(1V02) (528) Buffalo, NY","31,536","30,476",96.64%,"1,060",3.36%,"28,060","1,193","1,223",555,193,114,198,6.98,4.55,4.38,,
"(1V02) (528A4) Batavia, NY","3,576","3,524",98.55%,52,1.45%,"3,306",115,103,30,5,4,13,2.91,3.36,0.99,,
"(1V02) (528GB) Jamestown, NY","1,167","1,163",99.66%,4,0.34%,"1,132",16,15,3,1,0,0,0.33,2.32,0.13,,
"(1V02) (528GC) Dunkirk, NY",489,483,98.77%,6,1.23%,478,2,3,5,1,0,0,0.26,5.00,0.00,,
"(1V02) (528GD) Niagara Falls, NY",326,300,92.02%,26,7.98%,254,31,15,15,4,1,6,7.93,6.25,3.67,,
"(1V02) (528GK) Lockport, NY",267,257,96.25%,10,3.75%,244,8,5,0,2,1,7,9.07,0.00,3.25,,
"(1V02) (528GQ) West Seneca, NY",467,461,98.72%,6,1.28%,449,11,1,3,0,0,3,1.64,0.00,0.70,,
"(1V02) (528GR) Olean, NY",604,583,96.52%,21,3.48%,505,26,52,8,4,2,7,2.82,3.96,2.00,,
"(1V02) (528QA) Buffalo Main Street, NY",688,687,99.85%,1,0.15%,685,1,1,0,0,0,1,0.32,,,,
"(1V02) (528QB) Packard, NY",807,806,99.88%,1,0.12%,806,0,0,0,0,0,1,21.19,,,,
"(1V02) (528A7) Syracuse, NY HCS","35,034","33,322",95.11%,"1,712",4.89%,"29,407","1,800","2,115","1,008",361,182,161,3.02,5.89,4.56,,
"(1V02) (528A7) Syracuse, NY","18,469","17,295",93.64%,"1,174",6.36%,"14,959","1,100","1,236",716,249,118,91,3.60,5.91,1.49,,
"(1V02) (528G5) Auburn, NY",493,467,94.73%,26,5.27%,367,49,51,17,5,2,2,6.74,56.00,13.82,,
"(1V02) (528G9) Tompkins County, NY",695,673,96.83%,22,3.17%,606,33,34,13,5,1,3,3.05,27.63,3.75,,
"(1V02) (528GL) Massena, NY",953,927,97.27%,26,2.73%,846,45,36,22,3,1,0,1.15,14.50,2.07,,
"(1V02) (528GM) Rome, NY (Donald
J. Mitchell)","4,452","4,300",96.59%,152,3.41%,"3,793",177,330,51,23,41,37,1.98,7.85,3.67,,
"(1V02) (528GN) Binghamton, NY","3,134","3,072",98.02%,62,1.98%,"2,833",123,116,27,16,9,10,2.85,3.01,3.27,,
"(1V02) (528GO) Watertown, NY","1,788","1,726",96.53%,62,3.47%,"1,608",59,59,46,10,1,5,1.84,0.84,6.64,,
"(1V02) (528GP) Oswego, NY",454,446,98.24%,8,1.76%,416,11,19,4,4,0,0,1.55,0.40,1.79,,
"(1V02) (528QG) Erie West, NY","2,714","2,593",95.54%,121,4.46%,"2,346",101,146,83,30,5,3,,0.00,5.13,,
"(1V02) (528QH) South Salina, NY",469,468,99.79%,1,0.21%,461,4,3,1,0,0,0,,,,,
"(1V02) (528QI) Erie East, NY",720,675,93.75%,45,6.25%,558,67,50,18,14,4,9,,10.29,,,
"(1V02) (528QN) Watertown 2, NY",693,680,98.12%,13,1.88%,614,31,35,10,2,0,1,,2.83,2.68,,
"(1V02) (526) Bronx, NY HCS","19,629","19,184",97.73%,445,2.27%,"17,936",581,667,265,60,32,88,1.64,5.93,0.64,,
"(1V02) (526) Bronx, NY (James J.
Peters)","19,136","18,698",97.71%,438,2.29%,"17,499",562,637,260,60,32,86,1.50,5.93,0.66,,
"(1V02) (526GA) White Plains, NY",240,234,97.50%,6,2.50%,191,17,26,5,0,0,1,2.80,0.50,0.04,,
"(1V02) (526GB) Yonkers, NY",166,165,99.40%,1,0.60%,162,2,1,0,0,0,1,7.74,,0.00,,
"(1V02) (526GD) Sunnyside, NY (Thomas P. Noonan Jr.)",87,87,100.00%,0,0.00%,84,0,3,0,0,0,0,2.54,,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  February 2021",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,
(1V02) (561) New Jersey HCS,"31,666","29,700",93.79%,"1,966",6.21%,"26,845","1,312","1,543",993,350,167,456,5.37,10.71,3.27,,
"(1V02) (561) East Orange, NJ","14,674","13,495",91.97%,"1,179",8.03%,"11,785",753,957,631,200,90,258,11.44,10.86,3.04,,
"(1V02) (561A4) Lyons, NJ","6,989","6,647",95.11%,342,4.89%,"6,079",256,312,170,59,33,80,1.71,11.64,2.66,,
"(1V02) (561BZ) Brick, NJ (James J.
Howard)","5,650","5,330",94.34%,320,5.66%,"4,981",176,173,134,64,26,96,6.89,10.08,2.01,,
"(1V02) (561GA) Hamilton, NJ",410,404,98.54%,6,1.46%,375,17,12,3,0,1,2,6.03,,6.96,,
"(1V02) (561GD) Hackensack, NJ","1,357","1,341",98.82%,16,1.18%,"1,302",28,11,10,4,1,1,2.41,1.63,0.33,,
"(1V02) (561GE) Jersey City, NJ",312,296,94.87%,16,5.13%,272,9,15,5,6,1,4,0.50,,15.80,,
"(1V02) (561GF) Piscataway, NJ",404,396,98.02%,8,1.98%,385,6,5,5,1,0,2,2.93,,3.07,,
"(1V02) (561GH) Morristown, NJ",403,382,94.79%,21,5.21%,342,22,18,5,4,8,4,11.19,,2.90,,
"(1V02) (561GI) Tinton Falls, NJ",829,782,94.33%,47,5.67%,735,24,23,22,10,7,8,5.20,10.24,1.97,,
"(1V02) (561GJ) Paterson, NJ",329,319,96.96%,10,3.04%,290,13,16,7,2,0,1,1.27,,14.51,,
"(1V02) (561GK) Sussex, NJ",309,308,99.68%,1,0.32%,299,8,1,1,0,0,0,0.54,,,,
"(1V02) (620) Hudson Valley, NY HCS","17,515","16,946",96.75%,569,3.25%,"15,545",728,673,338,112,29,90,6.99,4.05,1.88,,
"(1V02) (620) Montrose, NY (Franklin Delano Roosevelt)","4,345","4,204",96.75%,141,3.25%,"3,910",165,129,63,31,10,37,8.42,4.30,3.11,,
"(1V02) (620A4) Castle Point, NY","10,481","10,150",96.84%,331,3.16%,"9,307",420,423,219,62,14,36,8.20,3.63,0.78,,
"(1V02) (620BU) Montrose, NY - VADOM",95,95,100.00%,0,0.00%,94,1,0,0,0,0,0,,,,,
"(1V02) (620GA) New City, NY",646,622,96.28%,24,3.72%,568,32,22,10,4,3,7,8.76,8.11,4.57,,
"(1V02) (620GB) Carmel, NY",370,358,96.76%,12,3.24%,339,10,9,3,5,2,2,0.18,7.84,0.00,,
"(1V02) (620GD) Goshen, NY",476,465,97.69%,11,2.31%,411,30,24,6,4,0,1,7.40,1.69,2.78,,
"(1V02) (620GE) Port Jervis, NY",440,434,98.64%,6,1.36%,384,26,24,3,0,0,3,7.02,2.56,3.87,,
"(1V02) (620GF) Monticello, NY",288,262,90.97%,26,9.03%,233,14,15,19,3,0,4,4.48,14.66,0.78,,
"(1V02) (620GG) Poughkeepsie, NY",314,298,94.90%,16,5.10%,251,25,22,13,3,0,0,6.39,5.84,0.00,,
"(1V02) (620GH) Eastern Dutchess, NY",60,58,96.67%,2,3.33%,48,5,5,2,0,0,0,4.73,7.54,,,
(1V02) (630) New York Harbor HCS,"39,602","38,995",98.47%,607,1.53%,"36,151","1,315","1,529",431,148,13,15,3.68,2.64,0.45,,
"(1V02) (630) Manhattan, NY","18,145","17,964",99.00%,181,1.00%,"16,669",529,766,146,21,4,10,3.15,2.08,0.28,,
"(1V02) (630A4) Brooklyn, NY","16,090","15,750",97.89%,340,2.11%,"14,685",514,551,217,110,8,5,4.38,3.09,0.83,,
"(1V02) (630A5) St. Albans, NY","3,699","3,645",98.54%,54,1.46%,"3,407",103,135,47,6,1,0,3.63,2.76,0.00,,
"(1V02) (630BV) Brooklyn, NY - VADOM",25,25,100.00%,0,0.00%,25,0,0,0,0,0,0,,,,,
"(1V02) (630GA) Harlem, NY",68,68,100.00%,0,0.00%,68,0,0,0,0,0,0,0.00,,0.00,,
"(1V02) (630GB) Staten Island, NY","1,575","1,543",97.97%,32,2.03%,"1,297",169,77,21,11,0,0,4.00,3.73,0.00,,
"(1V02) (632) Northport, NY HCS","24,378","23,643",96.98%,735,3.02%,"22,027",781,835,424,148,77,86,5.08,3.78,3.11,,
"(1V02) (632) Northport, NY","21,791","21,123",96.93%,668,3.07%,"19,652",714,757,382,132,73,81,6.13,3.77,2.96,,
"(1V02) (632GA) East Meadow, NY",896,871,97.21%,25,2.79%,817,25,29,19,5,1,0,3.00,8.09,3.54,,
"(1V02) (632HA) Valley Stream, NY",304,295,97.04%,9,2.96%,285,6,4,5,1,0,3,8.58,,0.78,,
"(1V02) (632HB) Riverhead, NY",469,463,98.72%,6,1.28%,451,7,5,4,1,0,1,2.02,2.64,0.78,,
"(1V02) (632HC) Bay Shore, NY",436,431,98.85%,5,1.15%,401,12,18,5,0,0,0,0.62,,5.52,,
"(1V02) (632HD) Patchogue, NY",482,460,95.44%,22,4.56%,421,17,22,9,9,3,1,7.74,27.50,10.30,,
"(1V04) (460) Wilmington, DE HCS","24,180","22,716",93.95%,"1,464",6.05%,"20,683",860,"1,173",699,250,130,385,2.50,20.20,4.87,,
"(1V04) (460) Wilmington, DE","14,733","13,671",92.79%,"1,062",7.21%,"12,410",525,736,480,184,100,298,2.17,19.75,3.52,,
"(1V04) (460GA) Sussex County, DE","2,609","2,455",94.10%,154,5.90%,"2,210",110,135,74,37,14,29,4.17,35.43,6.18,,
"(1V04) (460GC) Kent County, DE","1,985","1,891",95.26%,94,4.74%,"1,740",60,91,54,12,5,23,2.48,25.67,10.30,,
"(1V04) (460GD) Cape May County, NJ","1,422","1,376",96.77%,46,3.23%,"1,301",33,42,27,5,3,11,1.78,37.23,11.42,,
